Episode,AVG_Reward
0,11.0
1,19.0
2,20.0
3,13.0
4,17.0
5,14.0
6,20.0
7,23.0
8,20.0
9,19.0
10,18.0
11,19.0
12,13.0
13,20.0
14,18.0
15,10.0
16,16.0
17,20.0
18,17.0
19,23.0
20,20.0
21,25.0
22,9.0
23,24.0
24,18.0
25,20.0
26,11.0
27,12.0
28,12.0
29,19.0
30,19.0
31,21.0
32,21.0
33,21.0
34,18.0
35,15.0
36,17.0
37,21.0
38,22.0
39,16.0
40,15.0
41,14.0
42,15.0
43,11.0
44,23.0
45,19.0
46,25.0
47,20.0
48,16.0
49,19.0
50,20.0
51,13.0
52,18.0
53,17.0
54,12.0
55,19.0
56,16.0
57,22.0
58,20.0
59,16.0
60,18.0
61,13.0
62,16.0
63,19.0
64,18.0
65,21.0
66,12.0
67,17.0
68,23.0
69,16.0
70,18.0
71,20.0
72,22.0
73,18.0
74,13.0
75,21.0
76,21.0
77,22.0
78,17.0
79,16.0
80,21.0
81,18.0
82,14.0
83,20.0
84,16.0
85,23.0
86,19.0
87,20.0
88,21.0
89,23.0
90,15.0
91,19.0
92,16.0
93,19.0
94,19.0
95,16.0
96,23.0
97,17.0
98,19.0
99,20.0
100,21.0
101,19.0
102,18.0
103,17.0
104,22.0
105,15.0
106,17.0
107,17.0
108,20.0
109,20.0
110,17.0
111,15.0
112,15.0
113,15.0
114,19.0
115,21.0
116,18.0
117,15.0
118,23.0
119,14.0
120,15.0
121,15.0
122,16.0
123,14.0
124,17.0
125,18.0
126,15.0
127,16.0
128,19.0
129,21.0
130,16.0
131,14.0
132,18.0
133,15.0
134,16.0
135,18.0
136,16.0
137,21.0
138,18.0
139,21.0
140,21.0
141,17.0
142,23.0
143,17.0
144,22.0
145,21.0
146,19.0
147,13.0
148,19.0
149,15.0
150,19.0
151,20.0
152,17.0
153,14.0
154,19.0
155,19.0
156,20.0
157,24.0
158,14.0
159,18.0
160,10.0
161,17.0
162,17.0
163,15.0
164,17.0
165,16.0
166,15.0
167,16.0
168,14.0
169,14.0
170,22.0
